customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
C100013,Female,0,Yes,No,21,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.85,1689.64,1
C100014,Female,0,Yes,No,5,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,83.69,441.77,0
C100015,Female,0,Yes,No,65,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,71.01,4293.01,0
C100016,Female,1,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,77.71,159.36,1
C100017,Male,0,Yes,No,0,Yes,Yes,Fiber optic,,No,No,No,No,No,Month-to-month,No,Bank transfer,69.6,0.0,0
C100018,Female,1,No,No,11,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,56.75,662.23,0
C100019,Male,0,Yes,Yes,36,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card,93.92,3045.64,0
C100020,Female,0,Yes,Yes,50,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,72.09,4199.21,0
C100021,Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.09,1796.75,0
C100022,Male,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,86.9,1982.6,1
C100023,Female,0,No,Yes,4,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card,53.59,209.59,1
C100024,Female,0,No,Yes,1,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,78.82,55.51,1
C100025,Female,1,No,Yes,0,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,84.91,4.13,1
C100026,Male,0,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,73.82,2986.55,0
C100027,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card,76.46,160.43,1
C100028,Female,1,Yes,No,39,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,63.09,1511.44,1
C100029,Male,0,No,Yes,31,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,68.41,1868.52,0
C100030,Male,0,No,Yes,35,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer,80.49,2673.94,0
C100031,Male,1,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer,94.03,86.19,0
C100032,Male,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,92.12,389.23,1
C100033,Female,0,Yes,Yes,71,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,49.42,3237.23,0
C100034,Female,1,Yes,No,9,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.05,620.77,1
C100035,Male,0,Yes,No,66,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,89.17,6115.9,0
C100036,Female,0,No,No,40,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer,76.96,3286.7,0
C100037,Female,0,No,No,44,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card,70.08,3163.01,1
C100038,Male,0,Yes,Yes,2,Yes,,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,92.96,159.72,1
C100039,Female,0,Yes,Yes,20,Yes,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.68,635.47,1
C100040,Male,0,Yes,No,1,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,57.5,62.86,1
C100041,Female,0,Yes,No,24,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,76.43,1782.69,0
C100042,Female,0,No,No,3,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer,73.98,236.62,1
C100043,Male,1,Yes,No,4,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,66.54,313.01,1
C100044,Male,0,Yes,No,1,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Bank transfer,63.43,52.04,0
C100045,Female,0,Yes,Yes,27,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Credit card,71.84,1622.96,0
C100046,Male,0,No,No,58,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,56.77,3166.22,1
C100047,Female,0,Yes,Yes,2,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer,59.84,121.83,1
C100048,Female,0,No,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card,83.44,96.42,1
C100049,Female,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,85.29,536.92,1
C100050,Female,1,Yes,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer,81.95,64.59,1
C100051,Male,0,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.1,4258.51,0
C100052,Male,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,62.21,195.62,0
C100053,Male,0,No,Yes,65,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.74,4554.16,1
C100054,Male,0,Yes,No,20,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,71.39,1223.22,1
C100055,Male,0,No,No,3,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer,72.48,257.98,1
C100056,Female,0,No,Yes,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,89.93,3753.77,1
C100057,Male,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.66,732.12,0
C100058,Female,0,Yes,No,70,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,91.43,6113.15,0
C100059,Female,0,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,32.13,1240.67,0
C100060,Female,0,No,No,0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,87.51,0.0,1
C100061,Female,0,Yes,Yes,4,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card,73.46,264.49,1
C100062,Male,0,Yes,Yes,33,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,87.54,2257.14,1
C100063,Female,0,No,No,47,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,78.62,3025.13,0
C100064,Male,0,Yes,Yes,34,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,82.62,2239.71,0
C100065,,0,No,No,56,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card,62.22,3379.53,1
C100066,Female,1,No,Yes,15,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,76.08,975.99,1
C100067,Male,1,Yes,No,4,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card,70.44,324.71,0
C100068,Male,0,No,No,28,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,17.22,,0
C100069,Male,0,No,No,27,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card,73.03,1521.17,1
C100070,Female,0,Yes,No,5,Yes,,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,71.04,320.13,1
C100071,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,77.47,125.39,0
C100072,Male,0,Yes,Yes,37,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Electronic check,74.03,2257.86,0
C100073,Male,0,Yes,No,39,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer,56.51,2008.94,0
C100074,Female,1,No,Yes,25,No,,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,83.76,1804.69,0
C100075,Male,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card,71.02,3312.47,1
C100076,Male,0,No,No,52,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card,78.74,4209.64,0
C100077,Male,0,Yes,Yes,53,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,81.84,3987.63,1
C100078,Female,0,Yes,Yes,69,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,62.24,4677.33,1
C100079,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,82.88,355.98,0
C100080,Female,0,No,Yes,28,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,69.37,1786.4,1
C100081,Male,0,No,No,5,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card,84.73,436.61,1
C100082,Male,0,No,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,38.34,1635.98,0
C100083,Female,0,No,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,93.76,5647.71,0
C100084,Female,0,No,No,42,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,63.75,2624.63,1
C100085,Female,0,No,No,66,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,65.96,4419.56,0
C100086,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,83.36,2438.67,1
C100087,Male,0,No,No,9,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,72.52,655.96,1
C100088,Female,0,No,No,47,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,71.55,3223.47,0
C100089,Female,1,No,No,14,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card,85.77,971.13,0
C100090,Male,0,Yes,No,4,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card,55.98,200.73,1
C100091,Female,1,Yes,No,52,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,74.5,3498.85,0
C100092,Female,0,No,No,34,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,70.18,2255.11,0
C100093,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,67.72,184.17,1
C100094,Female,0,Yes,No,55,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer,97.38,5336.43,0
C100095,Male,0,No,No,31,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer,55.54,1479.19,0
C100096,Male,0,Yes,Yes,0,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,53.13,5.4,0
C100097,Female,1,Yes,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,34.22,1185.32,0
C100098,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,89.41,,1
C100099,Male,0,Yes,No,52,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,84.5,4000.12,0
C100100,Female,0,No,No,31,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer,87.86,2747.65,0
C100101,Male,1,No,No,5,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,84.77,361.11,0
C100102,Female,0,No,No,45,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card,79.92,3450.74,1
C100103,Male,0,No,No,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card,96.42,92.82,0
C100104,Female,0,No,No,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,75.76,48.86,0
C100105,Female,0,Yes,No,11,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,83.97,936.39,0
C100106,Female,0,No,No,0,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Credit card,57.66,20.27,0
C100107,Female,0,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,33.46,1107.47,1
C100108,Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,81.88,4406.05,0
C100109,Female,0,No,No,4,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,86.25,338.93,0
C100110,Male,0,No,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,,4264.89,0
C100111,Female,0,Yes,No,42,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card,57.37,2359.97,0
C100112,Female,0,No,No,19,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,81.81,1613.62,1
C100113,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card,98.43,2925.42,0
C100114,,0,Yes,No,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer,87.38,4782.51,0
C100115,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,78.4,0.0,0
C100116,Male,1,Yes,Yes,5,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.56,445.87,1
C100117,Male,0,Yes,No,31,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,83.43,2603.89,1
C100118,Male,0,Yes,No,0,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,59.72,0.0,1
C100119,Male,1,Yes,No,39,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,96.26,4257.82,1
C100120,Male,0,Yes,Yes,9,Yes,,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.71,657.18,1
C100121,Female,0,No,No,13,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,59.38,655.82,1
C100122,Female,0,No,Yes,8,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,78.12,630.39,0
C100123,Male,1,No,Yes,54,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer,91.33,4224.31,0
C100124,Female,0,Yes,No,1,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,71.5,83.88,0
C100125,Female,0,No,Yes,52,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,75.0,3976.42,0
C100126,Male,0,No,No,30,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,79.4,2107.55,0
C100127,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer,69.22,39.11,1
C100128,Female,0,Yes,Yes,13,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,94.89,1203.73,0
C100129,Female,0,Yes,No,27,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card,63.43,1477.91,0
C100130,Female,0,Yes,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Bank transfer,73.19,64.99,0
C100131,Female,0,Yes,No,34,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,75.7,2338.15,0
C100132,Male,0,Yes,No,43,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer,69.58,3037.12,1
C100133,Female,0,Yes,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,58.21,63.73,0
C100134,Female,0,No,Yes,50,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,80.79,3544.29,0
C100135,Male,0,Yes,Yes,4,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,56.71,282.72,0
C100136,Female,0,Yes,No,5,No,No phone service,DSL,No,No,Yes,Yes,No,No,One year,No,Electronic check,54.43,296.07,0
C100137,Male,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,91.42,112.52,1
C100138,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,78.58,5106.46,1
C100139,Male,0,Yes,No,5,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,70.18,353.61,1
C100140,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card,78.68,153.71,0
C100141,Male,1,Yes,No,52,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,79.54,2829.8,1
C100142,Male,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,85.28,4034.71,1
C100143,Male,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,33.56,79.64,0
C100144,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,74.54,202.53,1
C100145,Female,0,No,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,32.42,950.04,1
C100146,Male,0,No,Yes,61,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,76.09,5173.01,1
C100147,Male,0,Yes,No,8,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer,67.65,524.68,0
C100148,Female,0,Yes,Yes,3,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card,57.72,173.13,0
C100149,Male,0,Yes,No,42,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,59.64,2318.64,1
C100150,Female,0,No,No,70,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,81.36,5782.7,0
C100151,Male,0,No,Yes,4,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,62.59,235.38,0
C100152,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer,78.6,136.57,1
C100153,Male,1,Yes,Yes,34,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card,88.38,2989.23,0
C100154,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,71.59,104.5,0
C100155,Female,0,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,97.25,194.9,1
C100156,Male,0,No,No,18,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,75.02,1354.1,1
C100157,Female,0,Yes,No,14,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,69.53,852.62,1
C100158,Female,0,No,Yes,39,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card,89.17,3188.04,0
C100159,Female,1,Yes,No,0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card,83.41,11.15,1
C100160,Female,1,No,No,38,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer,87.86,3150.88,0
C100161,Female,0,No,No,65,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,65.28,3614.6,0
C100162,Male,0,Yes,No,23,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,84.58,,1
C100163,Male,0,Yes,No,63,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,82.78,4478.22,0
C100164,Male,0,No,Yes,19,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,72.3,1514.44,0
C100165,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,85.35,223.01,0
C100166,Male,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer,84.91,522.54,1
C100167,Male,0,Yes,No,50,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,83.52,4268.28,1
C100168,Male,1,No,No,62,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer,81.15,4574.87,1
C100169,Male,0,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,74.06,4038.58,0
C100170,Male,0,Yes,No,17,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card,69.28,1212.99,0
C100171,Male,0,Yes,Yes,56,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,59.33,2685.32,0
C100172,Female,0,Yes,No,0,Yes,,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,69.88,0.0,0
C100173,Female,1,Yes,No,3,Yes,,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card,77.76,251.26,1
C100174,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card,78.77,,0
C100175,Male,0,Yes,No,16,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,40.04,568.43,1
C100176,Female,0,Yes,Yes,13,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Electronic check,61.07,730.25,1
C100177,Male,0,Yes,No,0,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Mailed check,74.71,0.0,0
C100178,Female,0,Yes,No,52,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer,87.09,5261.12,0
C100179,Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.09,323.23,1
C100180,Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,95.82,216.28,1
C100181,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,78.8,0.0,1
C100182,Male,0,No,No,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card,80.04,100.25,1
C100183,Female,0,No,No,21,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card,79.44,1411.61,1
C100184,Male,1,No,Yes,2,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,75.63,125.68,0
C100185,Male,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,98.89,269.75,1
C100186,Male,0,Yes,No,23,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,73.99,1463.89,0
C100187,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.44,51.61,1
C100188,Male,0,No,No,29,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.86,1948.71,0
