customerID,age,gender,income,loan_amount,loan_term,credit_score,employment_status,marital_status,default
C100046,42,Female,51872.42,28035.21,149,691.7,Unemployed,Married,Yes
C100047,63,Male,50748.42,1738.12,149,688.8,Employed,Divorced,Yes
C100048,53,Male,84709.57,40666.74,179,640.9,Employed,Married,No
C100049,58,Male,59181.68,13213.01,348,715.5,Employed,Single,Yes
C100050,57,Male,61582.0,21267.36,350,638.7,Employed,Single,Yes
C100051,30,Male,51187.28,13651.82,213,615.5,Employed,Divorced,Yes
C100052,38,Female,69257.34,37170.03,38,720.5,Employed,Single,Yes
C100053,43,Female,86986.36,52950.77,103,736.2,Self-employed,Single,Yes
C100054,44,Male,72957.22,16107.77,74,716.4,Employed,Married,Yes
C100055,23,Female,73737.34,38388.3,12,667.6,Employed,Married,No
C100056,47,Male,72124.6,12863.89,145,563.6,Employed,Single,Yes
C100057,28,Male,32395.15,14909.76,14,768.9,Unemployed,Married,No
C100058,56,Male,42477.62,23174.79,211,562.7,Self-employed,Married,Yes
C100059,53,Male,55900.25,8715.67,107,715.2,Employed,Single,Yes
C100060,65,Female,45482.72,13853.47,264,806.6,Employed,Single,No
C100061,56,Female,38709.26,3511.9,195,689.0,Self-employed,Married,Yes
C100062,38,Female,22556.49,8365.49,342,697.5,Self-employed,Single,Yes
C100063,67,Male,33069.42,13420.45,180,702.8,Employed,Divorced,Yes
C100064,40,Female,54869.49,30604.11,66,691.9,Unemployed,Single,Yes
C100065,36,Male,58611.47,13203.15,332,821.0,Employed,Married,No
C100066,64,Male,44138.92,32769.83,119,629.4,Employed,Married,Yes
C100067,38,Male,61578.5,6197.1,277,621.9,Self-employed,Married,Yes
C100068,24,Female,51323.33,22351.84,284,660.3,Employed,Single,Yes
C100069,43,Female,81811.47,17625.33,333,784.4,Employed,Married,No
C100070,59,Male,56767.48,10364.08,234,645.4,Unemployed,Divorced,Yes
C100071,30,Female,73926.62,11310.81,190,705.8,Self-employed,Single,Yes
C100072,43,Female,64064.28,29941.85,145,744.3,Employed,Single,No
C100073,27,Female,31958.58,6138.17,167,726.7,Self-employed,Single,No
C100074,53,Male,58186.84,21382.97,283,741.1,Employed,Single,Yes
C100075,43,Female,35287.52,19972.13,208,765.1,Self-employed,Single,Yes
C100076,36,Female,57837.58,11681.13,29,698.5,Self-employed,Married,Yes
C100077,31,Female,45097.38,7194.62,141,652.6,Self-employed,Divorced,Yes
C100078,48,Male,67639.26,12438.14,330,688.8,Self-employed,Divorced,Yes
C100079,53,Female,33152.91,6598.73,85,659.7,Student,Single,Yes
C100080,66,Male,60294.04,19787.39,176,831.3,Self-employed,Married,No
C100081,41,Female,71448.31,33168.21,303,648.0,Employed,Single,No
C100082,28,Male,78151.91,22925.84,113,709.0,Employed,Single,Yes
C100083,60,Male,44716.64,10797.82,248,589.9,Employed,Married,Yes
C100084,51,Male,60355.02,29616.65,285,688.0,Employed,Single,Yes
C100085,54,Male,63682.94,17076.1,125,662.8,Unemployed,Single,Yes
C100086,25,Male,90942.53,39305.97,323,720.5,Employed,Married,Yes
C100087,35,Male,30373.4,15970.23,167,722.1,Self-employed,Married,No
C100088,57,Male,41777.95,9661.18,115,765.0,Employed,Divorced,Yes
C100089,60,Male,116089.25,44941.61,90,760.3,Employed,Single,Yes
C100090,41,Female,54538.05,29985.04,104,676.0,Employed,Married,Yes
C100091,59,Female,22180.12,9017.86,207,623.3,Employed,Single,Yes
C100092,61,Female,48349.0,19862.73,90,630.4,Employed,Single,Yes
C100093,39,Male,15000.0,6682.38,136,698.2,Employed,Married,Yes
C100094,64,Male,64818.41,21925.48,259,689.5,Employed,Married,Yes
C100095,34,Female,76195.7,33215.89,316,695.5,Self-employed,Single,Yes
C100096,32,Male,41766.75,21469.64,248,647.9,Employed,Married,Yes
C100097,53,Male,50585.52,20406.23,195,766.2,Unemployed,Single,Yes
C100098,51,Female,78473.08,31003.08,254,591.6,Unemployed,Divorced,Yes
C100099,27,Female,24995.69,4940.49,155,644.6,Employed,Single,Yes
C100100,60,Male,33568.58,15586.88,106,615.4,Employed,Married,Yes
C100101,30,Female,55437.7,11590.94,272,667.5,Self-employed,Divorced,Yes
C100102,59,Male,44953.3,11339.3,58,754.8,Unemployed,Married,Yes
C100103,21,Female,54122.66,11853.26,326,662.7,Employed,Married,Yes
C100104,59,Male,34724.99,14748.25,161,686.1,Unemployed,Married,Yes
C100105,58,Male,64286.27,24915.49,296,719.9,Employed,Single,Yes
C100106,58,Female,57015.34,8060.17,46,659.9,Employed,Married,Yes
C100107,52,Male,70983.81,35463.37,184,703.0,Employed,Married,Yes
C100108,43,Female,64007.99,26789.75,158,695.0,Self-employed,Single,No
C100109,54,Male,64133.8,10754.93,136,612.2,Employed,Single,Yes
C100110,34,Female,31073.85,8266.07,190,652.1,Employed,Single,Yes
C100111,58,Female,69851.83,26426.68,242,701.3,Employed,Single,No
C100112,47,Male,53382.67,25315.96,339,756.9,Employed,Divorced,Yes
C100113,43,Female,56668.03,13061.43,296,756.9,Employed,Divorced,No
C100114,45,Male,80965.29,10076.31,92,805.7,Employed,Married,No
C100115,48,Male,45611.29,8756.4,352,709.1,Self-employed,Single,Yes
C100116,22,Male,87023.69,18289.56,185,655.2,Self-employed,Single,Yes
C100117,27,Female,88889.51,15572.95,171,676.2,Employed,Single,Yes
C100118,32,Female,75055.69,43239.5,15,673.2,Employed,Single,Yes
C100119,26,Female,40387.58,3111.75,244,655.5,Employed,Married,Yes
C100120,42,Female,16274.14,3477.99,320,703.0,Self-employed,Married,Yes
C100121,53,Female,81576.7,44999.8,113,705.8,Employed,Married,Yes
C100122,52,Male,62227.7,28669.13,313,609.6,Self-employed,Single,Yes
C100123,43,Female,45096.05,6761.09,42,745.3,Employed,Divorced,No
C100124,62,Female,83471.25,44907.79,348,569.8,Employed,Single,Yes
C100125,48,Male,42768.82,27668.4,100,666.7,Employed,Single,Yes
C100126,24,Female,51516.89,7117.9,179,749.0,Employed,Single,No
C100127,57,Male,70497.81,13484.89,17,716.4,Employed,Single,Yes
C100128,48,Male,37727.94,22963.39,324,658.6,Employed,Married,Yes
C100129,51,Male,57810.38,29831.75,189,798.1,Employed,Married,No
C100130,48,Male,81782.74,49111.24,349,653.6,Student,Married,Yes
C100131,47,Male,64222.21,17877.18,141,559.9,Employed,Single,Yes
C100132,25,Female,84948.53,48290.05,32,707.2,Unemployed,Divorced,Yes
C100133,47,Female,82672.05,23679.52,248,573.3,Self-employed,Married,Yes
C100134,59,Male,60154.77,29702.7,68,630.1,Employed,Married,Yes
C100135,35,Male,15000.0,9150.52,226,717.4,Employed,Single,Yes
C100136,49,Male,37884.55,7896.22,24,652.3,Employed,Divorced,Yes
C100137,22,Male,75266.68,19444.12,70,714.8,Self-employed,Married,Yes
C100138,37,Female,28994.97,6530.61,233,610.5,Self-employed,Married,Yes
C100139,41,Male,53466.15,25511.0,246,731.5,Student,Single,Yes
C100140,68,Female,66769.61,9392.36,65,578.5,Employed,Single,Yes
C100141,31,Female,89391.41,44780.26,77,759.1,Self-employed,Married,Yes
C100142,34,Female,48499.61,11982.47,310,651.5,Employed,Single,Yes
C100143,40,Female,47130.25,18149.03,14,771.9,Employed,Married,Yes
C100144,68,Male,58951.08,15465.78,92,629.6,Employed,Married,Yes
C100145,61,Female,67018.26,31757.09,349,795.5,Employed,Married,Yes
C100146,22,Female,56915.06,8143.56,202,622.5,Employed,Single,No
C100147,32,Female,80985.37,31526.79,21,572.4,Employed,Divorced,Yes
C100148,60,Female,44017.12,7780.43,322,682.6,Student,Single,Yes
C100149,23,Female,62403.22,36882.08,130,754.0,Employed,Married,Yes
C100150,62,Female,68904.25,35804.02,260,727.4,Self-employed,Single,Yes
C100151,34,Male,51995.34,10861.81,233,749.8,Employed,Single,Yes
C100152,65,Female,76794.2,15534.12,139,728.6,Employed,Single,Yes
C100153,35,Female,62979.17,16988.26,140,630.8,Employed,Married,Yes
C100154,41,Male,75776.91,21070.01,203,726.0,Self-employed,Married,Yes
C100155,52,Female,63882.08,31639.68,144,685.6,Self-employed,Single,Yes
C100156,27,Male,67528.09,27887.24,72,637.4,Employed,Single,Yes
C100157,47,Female,47352.16,16079.69,263,690.8,Employed,Married,Yes
C100158,45,Male,47384.57,24255.76,246,676.6,Employed,Single,Yes
C100159,58,Male,84487.93,26638.57,221,765.0,Employed,Single,Yes
C100160,68,Female,72710.21,16458.28,270,649.1,Unemployed,Married,Yes
C100161,52,Male,39540.7,8097.68,192,646.3,Self-employed,Single,Yes
C100162,40,Male,63617.27,17066.67,335,638.1,Employed,Single,Yes
C100163,40,Male,15000.0,7831.57,320,793.8,Employed,Single,Yes
C100164,41,Male,48521.2,6096.17,353,641.4,Employed,Married,Yes
C100165,60,Female,79220.55,23386.76,49,757.8,Self-employed,Married,Yes
C100166,36,Female,57497.09,11680.5,47,618.1,Employed,Single,Yes
C100167,29,Male,62358.25,30160.58,175,710.4,Employed,Married,Yes
C100168,37,Female,15000.0,1952.62,253,695.8,Self-employed,Single,Yes
C100169,22,Male,52154.93,17035.93,95,754.0,Employed,Single,Yes
C100170,26,Female,66765.44,5877.74,52,745.3,Employed,Single,Yes
C100171,25,Male,69305.8,12516.16,24,684.9,Employed,Single,Yes
C100172,58,Male,79247.11,12816.39,205,647.8,Self-employed,Married,Yes
C100173,55,Male,55794.84,18042.44,352,777.5,Unemployed,Single,Yes
C100174,54,Female,56686.88,26119.94,173,641.8,Employed,Divorced,Yes
C100175,43,Male,33357.65,2992.38,267,543.9,Employed,Divorced,Yes
C100176,55,Male,55909.57,29907.52,30,568.5,Employed,Single,Yes
C100177,28,Female,34768.5,16276.7,87,583.1,Unemployed,Married,Yes
C100178,64,Female,23042.6,5216.25,248,715.7,Employed,Married,No
C100179,45,Male,38296.41,18802.3,152,812.9,Employed,Single,Yes
C100180,66,Female,90173.7,23726.7,21,557.6,Employed,Single,Yes
C100181,28,Female,54588.78,23015.54,90,633.0,Student,Divorced,Yes
C100182,44,Male,64397.55,30663.2,288,685.3,Employed,Single,Yes
C100183,54,Female,49730.07,21973.68,250,772.7,Employed,Married,Yes
C100184,44,Male,24188.98,1715.25,293,632.7,Employed,Married,Yes
C100185,42,Female,78722.26,35939.14,133,715.4,Unemployed,Single,Yes
C100186,28,Male,16556.04,2219.43,335,665.0,Self-employed,Married,Yes
C100187,39,Female,48904.15,18856.08,332,836.4,Student,Divorced,No
C100188,32,Male,58907.7,6829.85,139,688.7,Employed,Single,Yes
C100189,35,Male,64609.79,14360.4,84,701.3,Employed,Single,Yes
C100190,53,Female,45470.61,12771.77,346,685.1,Employed,Single,Yes
C100191,51,Male,23240.77,9884.21,133,655.1,Self-employed,Married,Yes
C100192,50,Female,43978.13,7183.99,184,737.0,Unemployed,Married,Yes
C100193,38,Female,45024.84,13252.37,336,610.5,Employed,Married,Yes
C100194,67,Female,44538.13,19753.39,105,559.9,Employed,Married,Yes
C100195,25,Male,79401.17,40784.47,319,671.0,Employed,Divorced,No
C100196,37,Female,35727.94,15325.6,67,728.9,Unemployed,Single,Yes
C100197,26,Male,66019.59,14833.02,114,645.2,Employed,Married,Yes
C100198,37,Male,63165.94,13275.01,147,691.2,Employed,Single,Yes
C100199,67,Female,79209.1,27547.84,180,606.8,Employed,Single,Yes
C100200,38,Female,57337.36,14460.38,96,743.8,Employed,Single,Yes
C100201,64,Male,75822.62,48242.25,319,719.1,Employed,Single,No
C100202,44,Male,56555.6,40081.62,243,681.2,Self-employed,Married,Yes
C100203,54,Female,68687.85,40874.58,245,690.1,Unemployed,Married,Yes
C100204,42,Female,29941.18,3286.53,266,596.4,Employed,Married,Yes
C100205,33,Male,15000.0,8181.16,233,599.1,Employed,Single,No
C100206,57,Female,67550.94,33936.8,235,672.7,Self-employed,Single,Yes
C100207,67,Male,68623.66,7522.73,241,710.8,Self-employed,Divorced,Yes
C100208,33,Male,69510.05,19310.05,262,713.9,Employed,Married,Yes
C100209,58,Female,49501.35,7548.94,332,658.2,Unemployed,Married,Yes
C100210,33,Female,89794.45,26744.78,80,724.7,Self-employed,Single,No
C100211,55,Male,50802.44,21820.23,191,765.2,Unemployed,Single,Yes
C100212,58,Male,68417.58,32917.76,76,674.7,Employed,Divorced,Yes
C100213,42,Male,71892.72,17718.46,75,698.6,Employed,Single,No
C100214,56,Female,94374.8,33358.22,342,667.5,Employed,Single,No
C100215,34,Male,53659.41,6622.53,176,672.4,Self-employed,Married,Yes
C100216,24,Male,46936.14,9705.49,257,690.2,Unemployed,Divorced,Yes
C100217,25,Female,30037.09,4968.93,265,782.2,Student,Single,Yes
C100218,42,Male,91047.34,38099.86,23,734.9,Employed,Married,No
C100219,64,Female,68428.22,29501.59,183,729.5,Employed,Single,No
C100220,27,Male,69061.22,38056.0,74,652.8,Unemployed,Married,Yes
C100221,42,Female,122334.08,64514.16,121,626.1,Self-employed,Single,Yes
C100222,54,Male,66500.89,16049.67,77,703.4,Self-employed,Married,Yes
C100223,30,Male,33953.57,13041.99,243,754.6,Employed,Married,Yes
C100224,55,Male,56081.93,15169.53,57,783.4,Student,Divorced,Yes
C100225,35,Female,40504.35,14958.09,168,532.8,Student,Married,Yes
C100226,59,Female,52082.63,17565.52,118,826.8,Student,Married,No
C100227,48,Male,51948.21,5611.8,347,705.0,Employed,Married,Yes
C100228,47,Male,48259.51,9228.83,286,734.5,Self-employed,Married,Yes
C100229,29,Female,32134.35,9365.52,134,575.6,Employed,Single,Yes
C100230,43,Male,91850.03,18326.03,114,665.8,Employed,Married,Yes
C100231,62,Male,65976.96,33390.34,261,729.4,Employed,Single,Yes
C100232,21,Female,55490.56,14860.88,231,609.5,Employed,Married,Yes
C100233,57,Male,75152.76,19997.95,205,506.7,Student,Married,Yes
C100234,44,Male,69421.35,41000.61,37,700.1,Employed,Married,Yes
C100235,55,Male,65513.81,29474.58,38,677.0,Employed,Married,Yes
C100236,52,Male,73699.96,18280.78,233,766.5,Self-employed,Married,No
C100237,41,Male,62678.69,30609.24,175,670.4,Employed,Married,Yes
C100238,35,Female,73404.43,16168.99,300,674.8,Employed,Married,Yes
C100239,51,Female,75062.25,18405.38,22,721.9,Employed,Single,Yes
C100240,27,Male,63254.37,24233.69,76,742.0,Employed,Married,Yes
C100241,49,Female,55592.11,11722.66,286,637.5,Employed,Married,Yes
C100242,25,Male,90607.96,40118.05,352,736.7,Self-employed,Married,Yes
C100243,52,Female,50441.97,6396.97,267,648.7,Employed,Single,Yes
C100244,51,Male,67826.27,24193.92,16,681.0,Employed,Single,Yes
C100245,25,Female,68278.17,31499.81,29,720.2,Employed,Married,No
C100246,57,Male,47808.84,28601.98,317,730.7,Self-employed,Divorced,Yes
C100247,40,Male,43843.55,6110.47,185,699.1,Employed,Single,Yes
C100248,58,Male,52922.96,17252.52,184,615.2,Self-employed,Divorced,Yes
C100249,22,Male,50155.66,30170.62,346,567.8,Employed,Single,Yes
C100250,29,Male,30837.39,16441.99,98,668.7,Employed,Divorced,Yes
C100251,44,Female,46970.1,8352.34,111,738.3,Employed,Divorced,Yes
C100252,30,Female,65324.46,8608.45,250,707.0,Employed,Married,Yes
C100253,36,Male,85318.87,41455.0,326,694.5,Employed,Divorced,Yes
C100254,52,Female,71087.83,26386.19,139,679.6,Employed,Married,Yes
C100255,27,Female,15000.0,7783.92,64,698.5,Unemployed,Single,Yes
C100256,53,Female,72826.07,37370.09,31,620.4,Employed,Married,Yes
C100257,25,Female,48836.96,15946.04,14,726.8,Employed,Single,No
C100258,29,Female,69061.6,10208.36,142,730.8,Employed,Single,Yes
C100259,49,Male,59717.29,24942.57,196,658.7,Employed,Single,Yes
C100260,59,Female,56146.25,29699.76,182,706.2,Self-employed,Married,Yes
C100261,29,Female,57955.29,12129.49,95,577.0,Self-employed,Married,Yes
C100262,35,Male,59551.51,32758.25,247,690.8,Self-employed,Married,Yes
C100263,65,Male,86888.1,13991.61,317,672.0,Employed,Married,Yes
C100264,68,Male,59606.8,10169.98,93,755.6,Self-employed,Married,Yes
C100265,48,Female,81710.72,43010.19,246,668.1,Self-employed,Married,Yes
C100266,42,Male,78798.12,12650.64,201,732.1,Employed,Divorced,Yes
C100267,37,Female,73340.91,7922.93,251,656.5,Employed,Single,Yes
C100268,50,Female,24267.62,8471.98,17,542.8,Employed,Married,Yes
C100269,49,Female,82332.65,21883.34,246,666.5,Self-employed,Single,Yes
C100270,35,Male,50841.97,16996.71,272,691.8,Employed,Single,Yes
C100271,22,Female,74314.55,40232.94,248,689.1,Employed,Single,Yes
C100272,28,Female,40549.34,7775.07,304,690.0,Employed,Single,Yes
C100273,67,Male,36298.52,15609.79,271,649.6,Employed,Divorced,Yes
C100274,41,Female,99527.77,24472.18,354,660.6,Unemployed,Married,Yes
C100275,44,Male,40860.34,4708.93,245,612.4,Employed,Divorced,Yes
C100276,43,Female,82922.13,34037.81,167,560.2,Employed,Married,Yes
C100277,58,Male,62368.41,11504.18,302,673.6,Employed,Married,Yes
C100278,24,Male,51597.6,25409.77,253,635.3,Student,Single,Yes
C100279,24,Male,59103.42,35781.58,206,744.8,Employed,Divorced,Yes
C100280,34,Male,33978.11,16549.15,213,549.1,Employed,Single,Yes
C100281,44,Male,59724.91,14560.65,134,697.5,Employed,Married,Yes
C100282,53,Female,38345.19,7273.97,225,807.3,Employed,Divorced,No
C100283,44,Male,52091.12,32196.73,174,669.0,Self-employed,Married,Yes
C100284,42,Male,78505.99,22844.98,57,679.8,Student,Married,Yes
C100285,66,Female,65083.81,30370.74,165,705.6,Employed,Single,Yes
C100286,28,Female,30356.59,15385.2,342,710.3,Employed,Married,No
C100287,48,Male,77029.76,18601.82,127,655.5,Employed,Single,Yes
C100288,47,Female,59858.0,10283.32,247,619.5,Employed,Single,Yes
C100289,43,Male,49156.29,20444.23,156,719.2,Employed,Single,No
C100290,59,Female,74933.53,31985.01,111,565.5,Employed,Married,Yes
C100291,33,Male,56655.86,13232.02,145,729.9,Employed,Divorced,No
C100292,66,Female,36686.77,19627.31,345,656.5,Unemployed,Married,Yes
C100293,36,Female,96956.19,48144.07,50,680.2,Self-employed,Married,Yes
C100294,47,Female,59654.25,11294.85,244,648.5,Employed,Married,Yes
C100295,45,Female,58372.3,14824.48,301,765.9,Self-employed,Single,No
C100296,61,Female,51897.9,25179.1,76,694.9,Self-employed,Married,Yes
C100297,42,Male,83599.31,41306.75,275,660.7,Employed,Single,Yes
C100298,34,Female,49502.43,27791.35,233,659.0,Self-employed,Married,Yes
C100299,22,Female,29100.4,1000.0,129,671.1,Employed,Divorced,Yes
C100300,38,Female,46426.45,19444.8,73,823.8,Employed,Single,Yes
C100301,60,Male,86535.49,46700.21,340,601.0,Unemployed,Single,Yes
C100302,21,Male,76642.64,32805.49,80,745.0,Employed,Single,Yes
C100303,64,Female,54899.69,16980.1,342,714.1,Employed,Married,Yes
C100304,47,Male,87465.1,4907.96,237,772.4,Employed,Single,Yes
C100305,27,Male,74958.84,23378.01,310,717.7,Self-employed,Married,Yes
C100306,35,Male,54668.21,15313.99,115,680.2,Self-employed,Single,Yes
C100307,47,Female,56681.8,13574.47,22,741.2,Employed,Married,Yes
C100308,36,Male,66586.35,39139.02,240,693.8,Employed,Married,Yes
C100309,26,Male,43362.26,7611.87,141,725.3,Employed,Single,Yes
C100310,52,Male,60090.1,33455.05,203,765.7,Self-employed,Married,Yes
C100311,53,Female,66170.27,21245.41,171,685.6,Employed,Single,No
C100312,26,Female,26260.68,10050.95,123,654.5,Self-employed,Single,Yes
C100313,34,Male,56213.59,17800.2,262,641.4,Employed,Single,No
C100314,32,Male,53938.88,27192.3,186,707.0,Employed,Single,Yes
C100315,52,Female,80561.36,27359.79,232,627.3,Employed,Divorced,Yes
C100316,56,Male,23110.06,9677.54,245,659.0,Employed,Married,Yes
C100317,55,Female,52369.88,8888.59,248,621.9,Employed,Married,Yes
C100318,66,Male,50364.91,11209.37,126,710.5,Self-employed,Single,Yes
C100319,57,Female,79201.42,44954.35,278,634.9,Employed,Married,Yes
C100320,36,Male,59129.07,10307.75,88,602.8,Employed,Married,No
C100321,26,Female,95921.89,39884.41,342,613.4,Employed,Single,Yes
C100322,50,Male,73244.27,9198.52,293,645.7,Employed,Married,No
C100323,64,Female,51795.54,14412.68,203,651.2,Unemployed,Married,Yes
C100324,67,Female,64793.17,24249.29,74,695.1,Self-employed,Divorced,Yes
C100325,32,Female,52918.62,24800.52,326,670.3,Student,Divorced,Yes
C100326,32,Male,77187.92,34174.73,204,702.2,Employed,Single,No
C100327,22,Male,33356.05,12747.47,295,707.0,Employed,Married,No
C100328,27,Female,43526.08,14730.21,21,724.4,Employed,Divorced,Yes
C100329,47,Female,69113.8,41291.51,129,565.5,Employed,Married,Yes
C100330,47,Male,84515.13,18561.27,116,612.4,Employed,Single,Yes
C100331,38,Male,15960.63,4237.49,295,713.3,Employed,Single,Yes
C100332,35,Male,87489.42,19691.75,173,692.7,Employed,Single,Yes
C100333,60,Female,57197.3,29816.97,52,738.6,Student,Single,Yes
C100334,43,Female,22322.5,9071.49,226,587.4,Self-employed,Divorced,Yes
C100335,59,Female,15000.0,10085.6,67,651.5,Employed,Divorced,No
C100336,67,Female,29412.28,8351.98,167,662.2,Student,Divorced,Yes
C100337,36,Male,59605.9,20896.69,357,690.0,Self-employed,Single,Yes
C100338,30,Male,58682.04,31247.4,163,682.2,Employed,Married,Yes
C100339,66,Male,72664.01,31211.41,161,708.1,Self-employed,Married,Yes
C100340,51,Female,49010.26,16753.38,26,673.1,Student,Married,Yes
C100341,34,Male,37839.19,10191.86,172,762.3,Employed,Single,Yes
C100342,50,Male,51738.27,17815.06,345,781.5,Self-employed,Divorced,Yes
C100343,45,Male,60672.21,12517.38,342,612.9,Employed,Married,Yes
C100344,64,Male,64615.46,35690.21,347,682.7,Employed,Married,Yes
C100345,33,Female,44216.71,12700.61,137,727.9,Self-employed,Single,Yes
C100346,68,Male,78028.93,14050.53,34,715.1,Employed,Single,Yes
C100347,65,Male,47572.06,11987.6,94,655.5,Employed,Married,Yes
C100348,29,Female,42605.65,16691.21,85,695.3,Employed,Married,Yes
C100349,28,Male,49152.17,29107.54,39,585.0,Self-employed,Married,Yes
C100350,46,Male,81496.8,17838.06,258,678.9,Self-employed,Single,Yes
C100351,23,Male,57344.07,10572.81,193,592.4,Employed,Single,Yes
C100352,35,Female,46109.73,13856.29,263,710.5,Employed,Married,Yes
C100353,41,Male,78522.16,45791.62,81,613.0,Employed,Married,Yes
C100354,67,Female,102854.97,52186.05,254,689.8,Employed,Married,Yes
C100355,68,Female,64193.65,11946.23,34,699.2,Employed,Married,Yes
C100356,28,Female,84676.85,37177.68,263,684.6,Self-employed,Married,No
C100357,63,Male,80721.56,43594.95,294,642.1,Employed,Married,Yes
C100358,25,Female,47887.2,27414.44,100,667.4,Employed,Single,Yes
C100359,56,Male,60532.68,16904.43,126,750.9,Self-employed,Married,No
C100360,61,Male,34349.11,12514.79,163,654.5,Employed,Married,Yes
C100361,63,Male,55901.15,21032.76,213,681.3,Employed,Married,Yes
C100362,31,Male,47476.19,9770.4,196,646.6,Employed,Married,Yes
C100363,63,Male,51942.28,5934.75,48,741.2,Employed,Single,Yes
C100364,26,Male,45002.1,11156.42,143,684.7,Self-employed,Single,Yes
C100365,45,Male,54258.06,6192.9,187,634.2,Employed,Married,Yes
C100366,43,Male,70644.65,22467.2,225,680.4,Self-employed,Married,Yes
C100367,36,Female,57610.16,25648.07,231,665.5,Employed,Single,Yes
C100368,22,Female,22712.54,18889.36,243,763.6,Employed,Married,No
C100369,58,Male,45077.59,5338.72,168,677.3,Unemployed,Single,Yes
C100370,37,Female,29612.01,7143.29,186,597.0,Self-employed,Married,Yes
C100371,52,Male,64881.2,26479.0,129,709.9,Self-employed,Married,No
C100372,40,Male,70066.35,26246.23,106,787.2,Employed,Married,No
C100373,38,Male,65130.96,11677.3,120,751.8,Employed,Single,Yes
C100374,63,Male,44251.91,24818.73,164,613.8,Employed,Single,Yes
C100375,25,Male,64937.08,12927.08,50,663.9,Employed,Single,Yes
C100376,56,Male,50597.71,11691.55,88,678.2,Self-employed,Single,Yes
C100377,56,Male,37235.49,13201.51,52,678.9,Employed,Single,Yes
C100378,39,Male,74838.6,33087.63,154,702.9,Employed,Married,Yes
C100379,33,Male,76360.56,23052.15,184,659.4,Employed,Married,Yes
C100380,21,Male,78977.91,32197.84,68,625.1,Employed,Single,No
